Subject,grid,Concept,English Term,Arabic Term,Other Possible Translations
Physics,1,All About Me,Ancient Egyptian,المصري القديم,
Discover,1,All About Me,Civilization,الحضارة,
Discover,1,All About Me,Hieroglyphic Writing,الكتابة الهيروغليفية,
Discover,1,All About Me,Monument,الآثار,
Discover,1,All About Me,Pyramid,الأهرامات,
Discover,1,All About Me,The Senses,الحواس,
Discover,1,All About Me,Sight,البصر,
Discover,1,All About Me,Hearing,السمع,
Discover,1,All About Me,Smell,الشم,
Discover,1,All About Me,Touch,اللمس,
Discover,1,All About Me,Taste,التذوق,
Discover,1,All About Me,Body Part,عضو الجسم,
Discover,1,All About Me,Determinative,المُحدِّد,
Discover,1,All About Me,Phonetic Value,قيمة صوتية,
Discover,1,Family Tree,Family Tree,شجرة العائلة,
Discover,1,Family Tree,Adult,كبير,
Discover,1,Family Tree,Baby,رضيع,صغير
Discover,1,Family Tree,Child,طفل,
Discover,1,Family Tree,Teenager,مراهق,
Discover,1,Family Tree,Life Stages,مراحل حياة الإنسان,
Discover,1,Family Tree,Life Cycle,دورة حياة,
Discover,1,Family Tree,Plant,نبات,
Discover,1,Our Community,Community,مجتمع,
Discover,1,Our Community,Community Helpers,أصحاب المهن,
Discover,1,Our Community,Rights,الحقوق,
Discover,1,Our Community,Rules,القواعد,
Discover,1,Our Community,Tools,أدوات,
Discover,1,Our Environment,Environment,البيئة,
Discover,1,Our Environment,Living (Organism),كائن حي,
Discover,1,Our Environment,Desert,الصحراء,
Discover,1,Our Environment,Delta,الدلتا,
Discover,1,Moving Around Our Environment,Parts of the Plant,أجزاء النبات,
Discover,1,Moving Around Our Environment,Flower,الزهرة,
Discover,1,Moving Around Our Environment,Leaves,الأوراق,
Discover,1,Moving Around Our Environment,Stem,الساق,
Discover,1,Moving Around Our Environment,Roots,الجذور,
Discover,1,Moving Around Our Environment,Seeds,البذور,
Discover,1,Moving Around Our Environment,Soil,التربة,
Discover,1,Moving Around Our Environment,Sunlight,ضوء الشمس,
Discover,1,Moving Around Our Environment,Parts of Animals,أجزاء الحيوانات,
Discover,1,Moving Around Our Environment,Feathers,ريش,
Discover,1,Moving Around Our Environment,Scales,قشور,
Discover,1,Moving Around Our Environment,Beak,منقار,
Discover,1,Moving Around Our Environment,Fin,زعنفة,
Discover,1,Moving Around Our Environment,Claws,مخالب,
Discover,1,Moving Around Our Environment,Shell,صدفة,
Discover,1,Moving Around Our Environment,Wing,جناح,
Discover,1,Moving Around Our Environment,Transportation,وسائل المواصلات,
Discover,1,Moving Around Our Environment,Pollution,التلوث,
Discover,1,Growing Food,Sun,الشمس,
Discover,1,Growing Food,Seasons,فصول السنة,
Discover,1,Growing Food,Weather,الطقس,
Discover,1,Growing Food,Fall (Autumn),الخريف,
Discover,1,Growing Food,Winter,الشتاء,
Discover,1,Growing Food,Spring,الربيع,
Discover,1,Growing Food,Summer,الصيف,
Discover,1,Growing Food,Healthy Food,الطعام الصحي,
Discover,1,Celebrating The World Around Us,Traditions,التقاليد,
Discover,1,Celebrating The World Around Us,Egyptian Monuments,الآثار المصرية,
Discover,1,Celebrating The World Around Us,Map,خريطة,
Discover,1,Celebrating The World Around Us,Direction,اتجاه,
Discover,1,Celebrating The World Around Us,Nile River,نهر النيل,
Discover,1,How Goods are Made,Goods,المنتجات,
Discover,1,How Goods are Made,Needs,الاحتياجات,
Discover,1,How Goods are Made,Wants,الرغبات,
Discover,1,How Goods are Made,Resource,المصدر,
Discover,1,How Goods are Made,Materials,المواد,
Discover,1,How Goods are Made,Manufacture,صناعة,
Discover,1,How Goods are Made,Recycle,إعادة تدوير,
Discover,1,How Goods are Made,Technology,التكنولوجيا,
Discover,1,How Goods are Made,Cotton,القطن,
Discover,1,How Goods are Made,Appliance,جهاز,
Discover,1,How Goods are Made,Conserve Water,الحفاظ على المياه,
Discover,1,How Business Works,Magnet,المغناطيس,
Discover,1,How Business Works,Compass,البوصلة,
Discover,1,Communicating with Numbers,Abacus,عداد الأرقام,
Discover,1,Communicating with Numbers,Calculator,الآلة الحاسبة,
Discover,1,Communicating with Art,Photograph,صورة فوتوغرافية,
Discover,1,Communicating with Art,Painting,لوحات,
Discover,1,Communicating with Art,Sculpture,مجسمات,تماثيل في سياقات معينة
Discover,1,Moving Around Our Environment,Bounce,يقفز,
Discover,1,Moving Around Our Environment,Roll,يتدحرج,
Discover,1,Moving Around Our Environment,Spin,يدور حول نفسه,
Discover,1,Moving Around Our Environment,Slide,ينزلق,
Discover,1,Celebrating the World Around Us,Eid al-Fitr,عيد الفطر,
Discover,1,Celebrating the World Around Us,New Year’s Eve,ليلة رأس السنة,
Discover,1,Celebrating the World Around Us,Eid al-Adha,عيد الأضحى,
Discover,1,Celebrating the World Around Us,Christmas,عيد الميلاد (الكريسماس),
Discover,1,Celebrating the World Around Us,Temple of Hatshepsut,معبد حتشبسوت,
Discover,1,Celebrating the World Around Us,Luxor Temple,معبد األقصر,
Discover,1,Celebrating the World Around Us,Sphinx,أبو الهول,
Discover,1,Celebrating the World Around Us,Pyramids of Giza,أهرامات الجيزة,
Discover,1,Celebrating the World Around Us,North,شمال,
Discover,1,Celebrating the World Around Us,South,جنوب,
Discover,1,Celebrating the World Around Us,East,شرق,
Discover,1,Celebrating the World Around Us,West,غرب,
Discover,1,How Goods Are Made Around the World,Grocery store,متجر بقالة,
Discover,1,How Goods Are Made Around the World,Pharmacy,صيدلية,
Discover,1,How Goods Are Made Around the World,Market,السوق,
Discover,1,How Goods Are Made Around the World,Book store,مكتبة لبيع الكتب,
Discover,1,How Goods Are Made Around the World,Cotton gin machine,آلة حلج القطن,
Discover,1,How Goods Are Made Around the World,Harvesting machine,ماكينة جمع القطن,
Discover,1,How Goods Are Made Around the World,Spinning and waving,غزل ونسج,
Discover,1,How Goods Are Made Around the World,Yarn,خيوط,
Discover,1,How Goods Are Made Around the World,Fabric,قماش,
Discover,1,How Goods Are Made Around the World,Pledge,تعهد,
Discover,1,How Business Works,Teller,صراف,
Discover,1,How Business Works,Butcher,جزار,
Discover,1,How Business Works,Meat market,محل بيع اللحوم,
Discover,1,How Business Works,Mechanic,ميكانيكي,
Discover,1,How Business Works,Wrench,مفتاح فك وتركيب,
Discover,1,How Business Works,Bakery,مخبز,
Discover,1,How Business Works,Baker,خباز,
Discover,1,How Business Works,Souvenir Store,متجر هدايا تذكارية,
Discover,1,How Business Works,Auto Garage,ورشة سيارات,
Discover,1,"Buying, Selling, and Saving",LE,جنيه مصري,
Discover,1,Communicating with Numbers,Pascal’s Calculator,آلة باسكال (الآلة الحاسبة القديمة),
Discover,1,Communicating with Numbers,Adding machine,آلة جمع,
Discover,1,Communicating with Art,Mask,قناع,
Discover,2,A Day in My Life,Who Am I?,من أكون؟,
Discover,2,A Day in My Life,Egyptian Civilization,الحضارة المصرية,
Discover,2,A Day in My Life,Hieroglyphic Writing,الكتابة الهيروغليفية,
Discover,2,A Day in My Life,Hieroglyphic Signs,العلامات الهيروغليفية,
Discover,2,A Day in My Life,Pronunciation,النطق,
Discover,2,A Day in My Life,Scribe,الكاتب,
Discover,2,A Day in My Life,Birth Certificate,شهادة الميلاد,
Discover,2,A Day in My Life,Graphic Organizer,مخطط الأفكار,
Discover,2,A Day in My Life,Cooperation,التعاون,
Discover,2,A Day in My Life,Citizenship,المواطنة,
Discover,2,A Day in My Life,Priorities,الأولويات,
Discover,2,A Day in My Life,Strategies for Peace,أساليب تحقيق السلام,
Discover,2,A Day in My Life,Compromise,التوافق,
Discover,2,A Day in My Life,Brainstorm Solutions,تبادل أفكار عن الحلول الممكنة,
Discover,2,Taking Care of Me,Life Stages,مراحل حياة الطفل,
Discover,2,Taking Care of Me,Life Cycle,دورة حياة,
Discover,2,Taking Care of Me,Nest,عش,
Discover,2,Taking Care of Me,Swallows,العصافير,
Discover,2,Taking Care of Me,Body Parts,أعضاء الجسم,
Discover,2,Taking Care of Me,Beak,المنقار,
Discover,2,Taking Care of Me,Claws,المخالب,
Discover,2,Taking Care of Me,Wings,الجناحان,
Discover,2,Taking Care of Me,Food Group,المجموعة الغذائية,
Discover,2,Taking Care of Me,Poultry,الدواجن,
Discover,2,Taking Care of Me,Cereal,الحبوب,
Discover,2,Taking Care of Me,Exercise,التمارين الرياضية,
Discover,2,When I Grow Up,Construction Worker,عامل بناء,
Discover,2,When I Grow Up,Concierge,مسئولة خدمات,
Discover,2,When I Grow Up,Personal Interest Survey,استطلاع الاهتمامات الشخصية,
Discover,2,When I Grow Up,Wildlife,الحياة البرية,
Discover,2,When I Grow Up,Experiments,تجارب,
Discover,2,When I Grow Up,Agricultural Jobs,المهن الزراعية,
Discover,2,When I Grow Up,Industrial Jobs,المهن الصناعية,
Discover,2,When I Grow Up,Commercial Jobs,المهن التجارية,
Discover,2,When I Grow Up,Tourism Jobs,المهن السياحية,
Discover,2,When I Grow Up,STEM Jobs,وظائف العلوم والتكنولوجيا والهندسة والرياضيات,
Discover,2,When I Grow Up,IT Systems Engineer,مهندس أنظمة تكنولوجيا المعلومات,
Discover,2,When I Grow Up,Computer Programs,برامج أجهزة الكمبيوتر,
Discover,2,When I Grow Up,Salary,الراتب,
Discover,2,What Is in the Night Sky?,The World Around Me,العالم من حولي,
Discover,2,What Is in the Night Sky?,Cloud,سحابة,
Discover,2,What Is in the Night Sky?,Moon,القمر,
Discover,2,What Is in the Night Sky?,Stars,النجوم,
Discover,2,What Is in the Night Sky?,Observations,ملاحظات,
Discover,2,What Is in the Night Sky?,Scientist,العالم,
Discover,2,What Is in the Night Sky?,Constellation (Orion),التجمع النجمي (أوريون),
Discover,2,What Is in the Night Sky?,Data,بيانات,
Discover,2,What Is in the Night Sky?,Pattern,النمط,
Discover,2,What Is in the Night Sky?,Experiment,تجربة,
Discover,2,Helping My Habitat,Environments,البيئات,
Discover,2,Helping My Habitat,Habitat,البيئة الطبيعية,
Discover,2,Helping My Habitat,Desert,صحراء,
Discover,2,Helping My Habitat,Ocean,محيط,
Discover,2,Helping My Habitat,Forest,غابة,
Discover,2,Helping My Habitat,Species,أنواع,
Discover,2,Helping My Habitat,Egret,أبو قردان,
Discover,2,Helping My Habitat,Dove,الحمام,
Discover,2,Helping My Habitat,Egyptian Geese,الإوز المصري,
Discover,2,Monumental Designs,Planet Earth,كوكب الأرض,
Discover,2,Monumental Designs,Land,اليابسة,
Discover,2,Monumental Designs,Water,الماء,
Discover,2,Monumental Designs,Ice,الثلج,
Discover,2,Monumental Designs,"Forms of Water (Solid, Liquid, Gas)",حالات الماء (صلب، سائل، غاز),
Discover,2,Monumental Designs,Iceberg,جبل جليدي,
Discover,2,Monumental Designs,Fresh Water,الماء العذب,
Discover,2,Monumental Designs,Nile River,نهر النيل,
Discover,2,Monumental Designs,Map,خريطة,
Discover,2,Monumental Designs,Monument,معلم تذكاري,
Discover,2,Monumental Designs,Statue,تمثال,
Discover,2,Monumental Designs,Pyramids,الأهرامات,
Discover,2,The Nile I Know,How The World Works,كيف يعمل العالم؟,
Discover,2,The Nile I Know,Map Legend,مفتاح الخريطة,
Discover,2,The Nile I Know,Weather,الطقس,
Discover,2,The Nile I Know,Temperature,درجة الحرارة,
Discover,2,The Nile I Know,Wind Speed,سرعة الرياح,
Discover,2,The Nile I Know,Research,بحث,
Discover,2,Cities and People of the Nile,Transportation,المواصلات,
Discover,2,Cities and People of the Nile,Ticket Agent,بائع التذاكر,
Discover,2,Cities and People of the Nile,Mechanic,الميكانيكي,
Discover,2,Cities and People of the Nile,Railroad Engineer,سائق القطارات,
Discover,2,Cities and People of the Nile,Conductor,محصل التذاكر,
Discover,2,Cities and People of the Nile,Station Master,ناظر المحطة,
Discover,2,Cities and People of the Nile,Pilot,الطيار,
Discover,2,Cities and People of the Nile,Co-pilot,مساعد الطيار,
Discover,2,Cities and People of the Nile,Flight Attendant,مضيفة الطيران,
Discover,2,Cities and People of the Nile,Airplane mechanic,ميكانيكي الطائرات,
Discover,2,Cities and People of the Nile,Products,المنتجات,
Discover,2,Cities and People of the Nile,Crops,المحاصيل,
Discover,2,Cities and People of the Nile,Steel,الصلب,
Discover,2,Cities and People of the Nile,Economy,الاقتصاد,
Discover,2,Cities and People of the Nile,Fabrics,الأقمشة,
Discover,2,Cities and People of the Nile,Cotton,القطن,
Discover,2,Cities and People of the Nile,Resources,الموارد,
Discover,2,Cities and People of the Nile,"Mining (Coal, Iron, Gold)",التعدين (الفحم، الحديد، الذهب),
Discover,2,Cities and People of the Nile,Natural Resources,المصادر الطبيعية,
Discover,2,Life Along the Nile,Filtering Water,تنقية الماء,
Discover,2,Life Along the Nile,Pollutants,الملوثات,
Discover,2,Life Along the Nile,Aquatic Ecosystem,النظام البيئي المائي,
Discover,2,Life Along the Nile,Fish,الأسماك,
Discover,2,Life Along the Nile,Reptiles,الزواحف,
Discover,2,Life Along the Nile,Crocodiles,التماسيح,
Discover,2,Life Along the Nile,Spiny Eel,الثعبان الشوكي,
Discover,2,Life Along the Nile,Population,عدد السكان,
Discover,2,Life Along the Nile,Electricity,الكهرباء,
Discover,2,Life Along the Nile,Technology,التكنولوجيا,
Discover,2,Life Along the Nile,Recycle,إعادة تدوير,
Discover,2,Life Along the Nile,Fuel,الوقود,
Discover,2,Life Along the Nile,Energy,الطاقة,
Discover,2,Life Along the Nile,Conserving Resources,الحفاظ على الموارد,
Discover,2,Communicating in My Community,Communication,التواصل,
Discover,2,Communicating in My Community,Envelope,ظرف,
Discover,2,Communicating in My Community,Postal Stamp,طابع بريدي,
Discover,2,Communicating in My Community,Email,البريد الإلكتروني,
Discover,2,Communicating in My Community,Social Media,مواقع التواصل الاجتماعي,
Discover,2,Communicating in My Community,Verbal Communication,التواصل اللفظي,
Discover,2,Communicating in My Community,Non-verbal Communication,التواصل غير اللفظي,
Discover,2,Communicating Culture,Culture,الثقافات,
Discover,2,Communicating Culture,Festival,مهرجان,
Discover,2,Communicating Culture,Folktales,الحكايات الشعبية,
Discover,2,Communicating Culture,Traditions,العادات,
Discover,2,Communicating Culture,National Anthem,النشيد الوطني,
Discover,2,Communicating Culture,Arts,الفنون,
Discover,2,Communicating Culture,Handicrafts,صناعة يدوية,
Discover,2,Communicating Culture,Pottery,صناعة الفخار,
Discover,2,Communicating Culture,Textiles,المنسوجات,
Discover,2,Communicating Culture,Oasis,واحة,
Discover,2,Communication Tools,Communication Tools,وسائل التواصل,
Discover,2,Communication Tools,Blind,كفيف / كفيفة,
Discover,2,Communication Tools,Braille,طريقة برايل,
Discover,2,Communication Tools,Passwords,كلمات المرور,
Discover,2,Communication Tools,Characters,علامات,
Discover,2,Communication Tools,Symbols,رموز,
Discover,2,Communication Tools,Smoke Signals,إشارات الدخان,
Discover,2,Communication Tools,Code,شفرة,
Discover,2,Communication Tools,Telegraph,التلغراف,
Discover,2,Communication Tools,Morse Code,شفرة مورس,
Discover,2,Communication Tools,Sound Pattern,نمط صوتي,
Discover,3,Making a Healthy Body,Healthy,صحي,
Discover,3,Making a Healthy Body,Unhealthy,غير صحي,
Discover,3,Making a Healthy Body,Healthy Habits,عادات صحية,
Discover,3,Making a Healthy Body,Digestion Process,عملية الهضم,
Discover,3,Making a Healthy Body,Body,الجسم,
Discover,3,Making a Healthy Body,Bones,العظام,
Discover,3,Making a Healthy Body,Blood,الدم,
Discover,3,Making a Healthy Body,Heart,القلب,
Discover,3,Making a Healthy Body,Intestines,الأمعاء,
Discover,3,Making a Healthy Body,Muscles,العضلات,
Discover,3,Making a Healthy Body,Organ,العضو,
Discover,3,Making a Healthy Body,Skin,الجلد,
Discover,3,Making a Healthy Body,Stomach,المعدة,
